target,municipio,semanas,testes,positivos,notificacoes,obitos,positividade_media,incidencia_media_100k,risco_max
bacterias_teste_de_sensibilidade,NOVA XAVANTINA,1,1,0,0.0,0.0,0.0,0.0,0.0
bacterias_teste_de_sensibilidade,NOVO MUNDO,2,2,2,0.0,0.0,1.0,15.337423312883436,0.0122480996621622
bacterias_teste_de_sensibilidade,PARANATINGA,1,2,2,0.0,0.0,1.0,8.602150537634408,0.02608180602477483
bacterias_teste_de_sensibilidade,PEIXOTO DE AZEVEDO,3,5,5,0.0,0.0,1.0,5.069002532502814,1.3741947616518324
bacterias_teste_de_sensibilidade,PORTO ESPERIDIAO,1,1,1,0.0,0.0,1.0,9.767532721234616,0.05470817849099111
bacterias_teste_de_sensibilidade,POXOREO,1,1,1,0.0,0.0,1.0,,0.0
bacterias_teste_de_sensibilidade,QUERENCIA,1,2,2,0.0,0.0,1.0,7.035069823067994,0.0
bacterias_teste_de_sensibilidade,RONDONOPOLIS,7,8,3,0.0,0.0,0.42857142857142855,0.17628040118530833,0.6123724356957945
bacterias_teste_de_sensibilidade,SINOP,4,6,5,0.0,0.0,0.75,0.6641533312794794,0.43929251739183806
bacterias_teste_de_sensibilidade,SORRISO,2,3,3,0.0,0.0,1.0,1.505222272927217,0.303525
bacterias_teste_de_sensibilidade,VARZEA GRANDE,7,8,3,0.0,0.0,0.35714285714285715,0.13783046577049296,0.9082011118239499
bartonelose_bartonelose_biologia_molecular,CUIABA,1,1,0,0.0,0.0,0.0,,0.0
bartonelose_borreliose_biologia_molecular,CUIABA,1,1,0,0.0,0.0,0.0,,0.0
bartonelose_toxoplasmose_igg,CUIABA,1,1,1,0.0,0.0,1.0,,0.0
bartonelose_toxoplasmose_igm,CUIABA,1,1,0,0.0,0.0,0.0,,0.0
bordetella,VARZEA GRANDE,2,15,0,0.0,0.0,0.0,0.0,0.168625
borreliose_biologia_molecular,CAMPO NOVO DO PARECIS,1,1,0,0.0,0.0,0.0,0.0,0.0
borreliose_biologia_molecular,CUIABA,2,2,0,0.0,0.0,0.0,0.0,0.0
borreliose_borreliose_biologia_molecular,CUIABA,3,3,0,0.0,0.0,0.0,0.0,0.0
borreliose_brucelose,BARRA DO BUGRES,1,1,1,0.0,0.0,1.0,3.381119826886665,0.0017327737894144602
borreliose_brucelose_igg,BARRA DO BUGRES,1,1,0,0.0,0.0,0.0,0.0,0.0017327737894144602
borreliose_brucelose_igm,BARRA DO BUGRES,1,1,0,0.0,0.0,0.0,0.0,0.0017327737894144602
borreliose_lyme,CUIABA,1,1,0,0.0,0.0,0.0,0.0,0.0
borreliose_lyme_igg,CUIABA,1,4,0,0.0,0.0,0.0,0.0,0.0
borreliose_lyme_igm,CUIABA,1,4,0,0.0,0.0,0.0,0.0,0.0
botulismo_botulismo,CURVELANDIA,1,2,0,0.0,0.0,0.0,0.0,0.0
botulismo_botulismo,SINOP,1,2,0,0.0,0.0,0.0,0.0,0.0
botulismo_brucelose_igg,CANARANA,1,1,0,0.0,0.0,0.0,0.0,0.0
botulismo_brucelose_igm,CANARANA,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose,ALTO BOA VISTA,1,1,1,0.0,0.0,1.0,17.497812773403325,0.1979444819819821
brucelose,ARAPUTANGA,2,2,1,0.0,0.0,0.5,3.3815771675909643,0.2698
brucelose,ARIPUANA,1,1,0,0.0,0.0,0.0,0.0,0.05382992328265769
brucelose,CABIXI,1,1,0,0.0,0.0,0.0,,0.0
brucelose,CAMPO NOVO DO PARECIS,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose,CANARANA,2,2,1,0.0,0.0,0.5,1.9336375589759454,0.2698
brucelose,CASTANHEIRA,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose,CLAUDIA,1,1,1,0.0,0.0,1.0,10.442773600668337,0.0
brucelose,COCALINHO,1,1,1,0.0,0.0,1.0,15.681354869060687,0.15397950098536037
brucelose,CUIABA,6,7,2,0.0,0.0,0.3333333333333333,0.05345186819624533,0.565685424949238
brucelose,GUARANTA DO NORTE,7,7,3,0.0,0.0,0.42857142857142855,1.312990626087531,0.4817534656241287
brucelose,INDIAVAI,1,1,0,0.0,0.0,0.0,0.0,0.02767690737612621
brucelose,JUARA,2,2,0,0.0,0.0,0.0,0.0,0.0
brucelose,JURUENA,2,2,0,0.0,0.0,0.0,0.0,0.0634907305743244
brucelose,MARCELANDIA,1,1,1,0.0,0.0,1.0,9.894132779261898,0.006850390625000021
brucelose,NOBRES,1,1,1,0.0,0.0,1.0,6.454944487477407,0.021030651745495524
brucelose,NOVA MONTE VERDE,2,2,2,0.0,0.0,1.0,12.029351617947793,0.007011799690315371
brucelose,NOVA XAVANTINA,1,1,1,0.0,0.0,1.0,3.9866050071758887,0.0
brucelose,PEDRA PRETA,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose,PONTES E LACERDA,2,2,1,0.0,0.0,0.5,0.9612057364758353,0.2698
brucelose,RONDONOPOLIS,2,2,0,0.0,0.0,0.0,0.0,0.0
brucelose,SAO JOSE DOS QUATRO MARCOS,1,1,1,0.0,0.0,1.0,5.602554764972827,0.0
brucelose,SAPEZAL,2,2,1,0.0,0.0,0.5,1.6500016500016499,0.2698
brucelose,TANGARA DA SERRA,3,3,0,0.0,0.0,0.0,0.0,0.0
brucelose,TERRA NOVA DO NORTE,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose,VARZEA GRANDE,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_biologia_molecular,CLAUDIA,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_biologia_molecular,PRIMAVERA DO LESTE,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_borreliose_biologia_molecular,BARRA DO BUGRES,1,1,0,0.0,0.0,0.0,0.0,0.0017327737894144602
brucelose_brucelose,ALTO BOA VISTA,1,1,1,0.0,0.0,1.0,16.89189189189189,0.1979444819819821
brucelose_brucelose,ARENAPOLIS,1,1,0,0.0,0.0,0.0,,0.0
brucelose_brucelose,BARRA DO BUGRES,4,11,1,0.0,0.0,0.25,1.127039942295555,0.630985647777809
brucelose_brucelose,BOM JESUS DO ARAGUAIA,1,1,0,0.0,0.0,0.0,0.0,0.12204424268018027
brucelose_brucelose,BRASNORTE,1,1,1,0.0,0.0,1.0,5.715592135345221,0.0
brucelose_brucelose,CACERES,4,5,2,0.0,0.0,0.5,0.0,0.4437891306647418
brucelose_brucelose,CAMPO NOVO DO PARECIS,3,3,2,0.0,0.0,0.6666666666666666,1.332453913750258,0.28284271247461906
brucelose_brucelose,CANARANA,2,2,1,0.0,0.0,0.5,0.0,0.1349
brucelose_brucelose,CHAPADA DOS GUIMARAES,1,1,0,0.0,0.0,0.0,0.0,0.03629330306869366
brucelose_brucelose,COCALINHO,3,4,1,0.0,0.0,0.3333333333333333,5.185646131507986,0.7196649259345984
brucelose_brucelose,COLNIZA,1,1,0,0.0,0.0,0.0,0.0,0.15800048564189215
brucelose_brucelose,COMODORO,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,CONFRESA,1,1,0,0.0,0.0,0.0,0.0,0.047710620777027084
brucelose_brucelose,COTRIGUACU,1,1,1,0.0,0.0,1.0,9.617234083477591,0.10213395974099129
brucelose_brucelose,CUIABA,3,3,1,0.0,0.0,0.3333333333333333,0.04880915425449874,0.565685424949238
brucelose_brucelose,DIAMANTINO,2,2,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,GAUCHA DO NORTE,2,2,0,0.0,0.0,0.0,0.0,0.07570559895833356
brucelose_brucelose,GUARANTA DO NORTE,7,7,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,JURUENA,1,1,0,0.0,0.0,0.0,0.0,0.0634907305743244
brucelose_brucelose,LUCAS DO RIO VERDE,4,5,3,0.0,0.0,0.75,0.7929493408686795,0.43301270189221935
brucelose_brucelose,MATUPA,3,3,1,0.0,0.0,0.3333333333333333,0.0,0.28284271247461906
brucelose_brucelose,MIRASSOL D''OESTE,1,1,1,0.0,0.0,1.0,,0.0
brucelose_brucelose,NOVA CANAA DO NORTE,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,NOVA MUTUM,2,2,0,0.0,0.0,0.0,,0.0
brucelose_brucelose,NOVA XAVANTINA,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,PARANATINGA,1,1,1,0.0,0.0,1.0,,0.02608180602477483
brucelose_brucelose,PEDRA PRETA,2,4,2,0.0,0.0,0.5,0.0,0.1349
brucelose_brucelose,PORTO ESPERIDIAO,1,1,1,0.0,0.0,1.0,9.83574309039048,0.05470817849099111
brucelose_brucelose,RONDONOPOLIS,2,2,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,ROSARIO OESTE,1,1,0,0.0,0.0,0.0,,0.06282135768581094
brucelose_brucelose,SAO JOSE DO XINGU,1,1,0,0.0,0.0,0.0,0.0,0.10040118595157664
brucelose_brucelose,SINOP,5,5,1,0.0,0.0,0.2,0.15430027141417743,0.682842712474619
brucelose_brucelose,TANGARA DA SERRA,1,1,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,TAPURAH,1,1,1,0.0,0.0,1.0,6.39467962655071,0.0
brucelose_brucelose,UNIAO DO SUL,1,1,0,0.0,0.0,0.0,0.0,0.00187994087837845
brucelose_brucelose,VARZEA GRANDE,2,4,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose,VILA RICA,1,1,1,0.0,0.0,1.0,5.043627376809401,0.04660449394707213
brucelose_brucelose_biologia_molecular,BARRA DO BUGRES,1,3,0,0.0,0.0,0.0,0.0,0.0017327737894144602
brucelose_brucelose_biologia_molecular,PRIMAVERA DO LESTE,2,2,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose_igg,AGUA BOA,2,2,0,0.0,0.0,0.0,0.0,0.0
brucelose_brucelose_igg,ALTO BOA VISTA,2,2,0,0.0,0.0,0.0,0.0,0.1979444819819821
brucelose_brucelose_igg,ARENAPOLIS,2,2,1,0.0,0.0,0.5,9.285913269570061,0.1349
brucelose_brucelose_igg,BARRA DO BUGRES,5,5,0,0.0,0.0,0.0,0.0,0.0017327737894144602
brucelose_brucelose_igg,BOM CONSELHO,1,1,0,0.0,0.0,0.0,,0.0
brucelose_brucelose_igg,BOM JESUS DO ARAGUAIA,1,1,0,0.0,0.0,0.0,0.0,0.12204424268018027
