municipio,target,semanas,tests,positives,notificacoes,populacao,risco_medio,risco_max,positividade_media,solicitacoes_100k_media,nivel_risco_max,taxa_utilizacao,silencio_laboratorial,baixo_uso_lacen,exames_por_100_notificacoes,exames_por_100k,classificacao_uso
NOVA OLIMPIA,pesquisa_de_multipatogenos_ist,3,6,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PARAGOMINAS,influenza_a,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PARAGOMINAS,influenza_b,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PARAGOMINAS,sars_cov_2,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PIMENTA BUENO,pesquisa_de_multipatogenos_ist,1,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
POCONE,influenza_a,1,1,0,0.0,,0.0683092659065316,0.0683092659065316,0.0,,habitual,,False,False,,,intermediario
POCONE,influenza_b,1,1,0,0.0,,0.0683092659065316,0.0683092659065316,0.0,,habitual,,False,False,,,intermediario
POCONE,rifampicina,1,1,0,0.0,,0.0683092659065316,0.0683092659065316,0.0,,habitual,,False,False,,,intermediario
POCONE,sars_cov_2,1,1,0,0.0,,0.0683092659065316,0.0683092659065316,0.0,,habitual,,False,False,,,intermediario
PONTES E LACERDA,hepatite_b_hbv,3,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PONTES E LACERDA,hepatite_c_hcv,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PORTO ESPERIDIAO,chikungunya,1,4,0,0.0,,0.3919581784909911,0.3919581784909911,0.0,,habitual,,False,False,,,intermediario
PORTO ESPERIDIAO,zika,1,4,1,0.0,,0.5686759649382691,0.5686759649382691,0.25,,habitual,,False,False,,,intermediario
PRIMAVERA DO LESTE,criptococos_teste_rapido,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
PRIMAVERA DO LESTE,pesquisa_de_multipatogenos_ist,2,6,0,0.0,,0.0843125,0.168625,0.0,,habitual,,False,False,,,intermediario
PRIMAVERA DO LESTE,tuberculose_lf_lam,1,1,1,0.0,,0.0,0.0,1.0,,habitual,,False,False,,,intermediario
RONDONOPOLIS,rifampicina,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
ROSARIO OESTE,tuberculose_lf_lam,1,1,1,0.0,,0.1628213576858109,0.1628213576858109,1.0,,habitual,,False,False,,,intermediario
SAO GONCALO DO AMARANTE,rifampicina,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SAO JOSE DO RIO CLARO,criptococos_teste_rapido,2,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SAO JOSE DO RIO CLARO,tuberculose_lf_lam,3,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SAPEZAL,criptococos_teste_rapido,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SAPEZAL,pesquisa_de_multipatogenos_ist,1,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SAPEZAL,tuberculose_lf_lam,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SINOP,hepatite_b_hbv,3,7,4,0.0,,0.04496666666666666,0.1349,0.5714285714285714,,habitual,,False,False,,,intermediario
SINOP,pesquisa_de_multipatogenos_ist,1,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SINOP,rifampicina,2,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
SINOP,tuberculose_lf_lam,5,12,7,0.0,,0.22434830272047002,0.6188503953993294,0.5833333333333334,,habitual,,False,False,,,intermediario
SORRISO,tuberculose_lf_lam,1,1,1,0.0,,0.1349,0.1349,1.0,,habitual,,False,False,,,intermediario
TABAPORA,tuberculose_lf_lam,1,1,1,0.0,,0.0,0.0,1.0,,habitual,,False,False,,,intermediario
TANGARA DA SERRA,criptococos_teste_rapido,2,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
TANGARA DA SERRA,hepatite_b_hbv,4,5,1,0.0,,0.03344419160111872,0.1337767664044749,0.2,,habitual,,False,False,,,intermediario
