target,forecast_step,forecast_epi_year,forecast_epi_week,forecast_tests,forecast_positividade,forecast_notificacoes,metodo,modelo_versao
febre_amarela,1,2025,46,3.93,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_amarela,2,2025,47,3.93,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_amarela,3,2025,48,3.93,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_amarela,4,2025,49,3.93,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_1a_amostra,1,2025,42,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_1a_amostra,2,2025,43,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_1a_amostra,3,2025,44,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_1a_amostra,4,2025,45,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_biologia_molecular,1,2025,19,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_biologia_molecular,2,2025,20,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_biologia_molecular,3,2025,21,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_biologia_molecular,4,2025,22,1.0,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igg,1,2025,28,1.07,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igg,2,2025,29,1.07,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igg,3,2025,30,1.07,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igg,4,2025,31,1.07,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igm,1,2025,28,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igm,2,2025,29,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igm,3,2025,30,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
febre_maculosa_rickettsioses_febre_maculosa_igm,4,2025,31,1.02,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_parasitol_gico,1,2025,24,1.33,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_parasitol_gico,2,2025,25,1.33,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_parasitol_gico,3,2025,26,1.33,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_parasitol_gico,4,2025,27,1.33,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_pesquisa_do_ant_geno,1,2025,20,1.41,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_pesquisa_do_ant_geno,2,2025,21,1.41,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_pesquisa_do_ant_geno,3,2025,22,1.41,0.0,0.0,ewma_span4_tail8,baseline_v1
filariose_filariose_pesquisa_do_ant_geno,4,2025,23,1.41,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase,1,2026,19,4.22,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase,2,2026,20,4.22,0.0,0.0,ewma_span4_tail8,baseline_v1
