municipio,vizinho,dist_km,rank_vizinho
IPIRANGA DO NORTE,LUCAS DO RIO VERDE,97.78,6
ITANHANGA,TAPURAH,59.48,1
ITANHANGA,IPIRANGA DO NORTE,63.25,2
ITANHANGA,NOVA MARINGA,97.1,3
ITANHANGA,SORRISO,107.9,4
ITANHANGA,PORTO DOS GAUCHOS,113.96,5
ITANHANGA,NOVO HORIZONTE DO NORTE,118.16,6
ITAUBA,NOVA SANTA HELENA,30.9,1
ITAUBA,COLIDER,40.02,2
ITAUBA,CLAUDIA,40.54,3
ITAUBA,SANTA CARMEM,86.55,4
ITAUBA,NOVA CANAA DO NORTE,88.64,5
ITAUBA,NOVA GUARITA,94.6,6
ITIQUIRA,ALTO GARCAS,71.64,1
ITIQUIRA,PEDRA PRETA,74.04,2
ITIQUIRA,SAO JOSE DO POVO,85.89,3
ITIQUIRA,RONDONOPOLIS,97.15,4
ITIQUIRA,ALTO ARAGUAIA,99.36,5
ITIQUIRA,GUIRATINGA,104.18,6
JANGADA,ACORIZAL,14.38,1
JANGADA,ROSARIO OESTE,45.32,2
JANGADA,CUIABA,57.82,3
JANGADA,VARZEA GRANDE,59.25,4
JANGADA,NOBRES,60.19,5
JANGADA,NOSSA SENHORA DO LIVRAMENTO,60.7,6
JAURU,FIGUEIROPOLIS D'OESTE,20.0,1
JAURU,VALE DE SAO DOMINGOS,50.72,2
JAURU,ARAPUTANGA,58.81,3
JAURU,PORTO ESPERIDIAO,74.61,4
JAURU,GLORIA D'OESTE,77.85,5
JAURU,SALTO DO CEU,82.23,6
JUINA,CASTANHEIRA,30.81,1
JUINA,BRASNORTE,119.17,2
JURUENA,CASTANHEIRA,94.36,1
LUCAS DO RIO VERDE,SORRISO,60.13,1
LUCAS DO RIO VERDE,NOVA UBIRATA,71.49,2
LUCAS DO RIO VERDE,TAPURAH,76.08,3
LUCAS DO RIO VERDE,NOVA MUTUM,88.43,4
LUCAS DO RIO VERDE,IPIRANGA DO NORTE,97.78,5
LUCAS DO RIO VERDE,VERA,105.3,6
LUCIARA,SANTA TEREZINHA,32.11,1
LUCIARA,VILA RICA,101.62,2
LUCIARA,PORTO ALEGRE DO NORTE,116.76,3
NOBRES,ROSARIO OESTE,16.69,1
NOBRES,NOVA MARILANDIA,27.08,2
NOBRES,ALTO PARAGUAI,28.34,3
NOBRES,DIAMANTINO,37.04,4
NOBRES,NOVA BRASILANDIA,46.37,5
NOBRES,ACORIZAL,53.07,6
NORTELANDIA,ARENAPOLIS,5.75,1
NORTELANDIA,ALTO PARAGUAI,36.23,2
NORTELANDIA,NOVA MARILANDIA,37.73,3
NORTELANDIA,DIAMANTINO,38.62,4
NORTELANDIA,DENISE,44.7,5
NORTELANDIA,SANTO AFONSO,46.06,6
NOSSA SENHORA DO LIVRAMENTO,VARZEA GRANDE,26.44,1
NOSSA SENHORA DO LIVRAMENTO,SANTO ANTONIO DO LEVERGER,30.74,2
NOSSA SENHORA DO LIVRAMENTO,CUIABA,32.77,3
NOSSA SENHORA DO LIVRAMENTO,JANGADA,60.7,4
NOSSA SENHORA DO LIVRAMENTO,POCONE,61.94,5
NOSSA SENHORA DO LIVRAMENTO,ACORIZAL,63.46,6
NOVA BRASILANDIA,NOBRES,46.37,1
NOVA BRASILANDIA,ACORIZAL,49.56,2
NOVA BRASILANDIA,ROSARIO OESTE,50.68,3
NOVA BRASILANDIA,CHAPADA DOS GUIMARAES,60.86,4
NOVA BRASILANDIA,JANGADA,63.64,5
NOVA BRASILANDIA,NOVA MARILANDIA,72.01,6
NOVA CANAA DO NORTE,COLIDER,57.03,1
NOVA CANAA DO NORTE,NOVA SANTA HELENA,70.9,2
NOVA CANAA DO NORTE,NOVA GUARITA,71.09,3
NOVA CANAA DO NORTE,ITAUBA,88.64,4
NOVA CANAA DO NORTE,PEIXOTO DE AZEVEDO,118.8,5
NOVA GUARITA,PEIXOTO DE AZEVEDO,51.03,1
NOVA GUARITA,COLIDER,57.38,2
NOVA GUARITA,NOVA SANTA HELENA,63.7,3
NOVA GUARITA,NOVA CANAA DO NORTE,71.09,4
NOVA GUARITA,ITAUBA,94.6,5
NOVA MARILANDIA,ALTO PARAGUAI,20.19,1
NOVA MARILANDIA,ROSARIO OESTE,24.03,2
NOVA MARILANDIA,NOBRES,27.08,3
NOVA MARILANDIA,DIAMANTINO,32.66,4
NOVA MARILANDIA,NORTELANDIA,37.73,5
NOVA MARILANDIA,ARENAPOLIS,38.29,6
NOVA MARINGA,TAPURAH,62.91,1
NOVA MARINGA,ITANHANGA,97.1,2
