municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
ACORIZAL,2020,18,,,,,7,0.0,0
ACORIZAL,2020,19,,,,,7,0.0,0
ACORIZAL,2020,20,,,,,7,0.0,0
ACORIZAL,2020,21,,,,,7,0.0,0
ACORIZAL,2020,22,,,,,7,0.0,0
ACORIZAL,2020,23,,,,,7,0.0,0
ACORIZAL,2020,24,,,,,7,0.0,0
ACORIZAL,2020,25,,,,,7,0.0,0
ACORIZAL,2020,26,,,,,7,0.0,0
ACORIZAL,2020,27,,,,,7,0.0,0
ACORIZAL,2020,28,,,,,7,0.0,0
ACORIZAL,2020,29,,,,,7,0.0,0
ACORIZAL,2020,30,,,,,7,0.0,0
ACORIZAL,2020,31,,,,,7,0.0,0
ACORIZAL,2020,32,,,,,7,0.0,0
ACORIZAL,2020,33,,,,,7,0.0,0
ACORIZAL,2020,34,,,,,7,0.0,0
ACORIZAL,2020,35,,,,,7,0.0,0
ACORIZAL,2020,36,,,,,7,0.0,0
ACORIZAL,2020,37,,,,,7,0.0,0
ACORIZAL,2020,38,,,,,7,0.0,0
ACORIZAL,2020,39,,,,,7,0.0,0
ACORIZAL,2020,40,,,,,7,0.0,0
ACORIZAL,2020,41,,,,,7,0.0,0
ACORIZAL,2020,42,,,,,7,0.0,0
ACORIZAL,2020,43,,,,,7,0.0,0
ACORIZAL,2020,44,,,,,7,0.0,0
ACORIZAL,2020,45,,,,,7,0.0,0
ACORIZAL,2020,46,,,,,7,0.0,0
ACORIZAL,2020,47,,,,,7,0.0,0
ACORIZAL,2020,48,,,,,7,0.0,0
ACORIZAL,2020,49,,,,,7,0.0,0
ACORIZAL,2020,50,,,,,7,0.0,0
ACORIZAL,2020,51,,,,,7,0.0,0
ACORIZAL,2020,52,,,,,7,0.0,0
ACORIZAL,2020,53,,,,,5,0.0,0
ACORIZAL,2021,1,,,,,7,0.0,0
ACORIZAL,2021,2,,,,,7,0.0,0
ACORIZAL,2021,3,,,,,7,0.0,0
ACORIZAL,2021,4,,,,,7,0.0,0
ACORIZAL,2021,5,,,,,7,0.0,0
ACORIZAL,2021,6,,,,,7,0.0,0
ACORIZAL,2021,7,,,,,7,0.0,0
ACORIZAL,2021,8,,,,,7,0.0,0
ACORIZAL,2021,9,,,,,7,0.0,0
ACORIZAL,2021,10,,,,,7,0.0,0
ACORIZAL,2021,11,,,,,7,0.0,0
ACORIZAL,2021,12,,,,,7,0.0,0
ACORIZAL,2021,13,,,,,7,0.0,0
ACORIZAL,2021,14,,,,,7,0.0,0
ACORIZAL,2021,15,,,,,7,0.0,0
ACORIZAL,2021,16,,,,,7,0.0,0
ACORIZAL,2021,17,,,,,7,0.0,0
ACORIZAL,2021,18,,,,,7,0.0,0
ACORIZAL,2021,19,,,,,7,0.0,0
ACORIZAL,2021,20,,,,,7,0.0,0
ACORIZAL,2021,21,,,,,7,0.0,0
ACORIZAL,2021,22,,,,,7,0.0,0
ACORIZAL,2021,23,,,,,7,0.0,0
ACORIZAL,2021,24,,,,,7,0.0,0
ACORIZAL,2021,25,,,,,7,0.0,0
ACORIZAL,2021,26,,,,,7,0.0,0
ACORIZAL,2021,27,,,,,7,0.0,0
ACORIZAL,2021,28,,,,,7,0.0,0
ACORIZAL,2021,29,,,,,7,0.0,0
ACORIZAL,2021,30,,,,,7,0.0,0
ACORIZAL,2021,31,,,,,7,0.0,0
ACORIZAL,2021,32,,,,,7,0.0,0
ACORIZAL,2021,33,,,,,7,0.0,0
ACORIZAL,2021,34,,,,,7,0.0,0
ACORIZAL,2021,35,,,,,7,0.0,0
ACORIZAL,2021,36,,,,,7,0.0,0
ACORIZAL,2021,37,,,,,7,0.0,0
ACORIZAL,2021,38,,,,,7,0.0,0
ACORIZAL,2021,39,,,,,7,0.0,0
ACORIZAL,2021,40,,,,,7,0.0,0
ACORIZAL,2021,41,,,,,7,0.0,0
ACORIZAL,2021,42,,,,,7,0.0,0
ACORIZAL,2021,43,,,,,7,0.0,0
ACORIZAL,2021,44,,,,,7,0.0,0
ACORIZAL,2021,45,,,,,7,0.0,0
ACORIZAL,2021,46,,,,,7,0.0,0
ACORIZAL,2021,47,,,,,7,0.0,0
ACORIZAL,2021,48,,,,,7,0.0,0
ACORIZAL,2021,49,,,,,7,0.0,0
ACORIZAL,2021,50,,,,,7,0.0,0
ACORIZAL,2021,51,,,,,7,0.0,0
ACORIZAL,2021,52,,,,,7,0.0,0
ACORIZAL,2022,1,,,,,7,0.0,0
ACORIZAL,2022,2,,,,,7,0.0,0
ACORIZAL,2022,3,,,,,7,0.0,0
ACORIZAL,2022,4,,,,,7,0.0,0
ACORIZAL,2022,5,,,,,7,0.0,0
ACORIZAL,2022,6,,,,,7,0.0,0
ACORIZAL,2022,7,,,,,7,0.0,0
ACORIZAL,2022,8,,,,,7,0.0,0
ACORIZAL,2022,9,,,,,7,0.0,0
ACORIZAL,2022,10,,,,,7,0.0,0
ACORIZAL,2022,11,,,,,7,0.0,0
ACORIZAL,2022,12,,,,,6,0.0,0
ACORIZAL,2022,13,,,,,4,0.0,0
ACORIZAL,2022,14,,,,,6,0.0,0
ACORIZAL,2022,15,,,,,6,0.0,0
ACORIZAL,2022,16,,,,,7,0.0,0
ACORIZAL,2022,17,,,,,7,0.0,0
ACORIZAL,2022,18,,,,,7,0.0,0
ACORIZAL,2022,19,,,,,7,0.0,0
ACORIZAL,2022,20,,,,,7,0.0,0
ACORIZAL,2022,21,,,,,7,0.0,0
ACORIZAL,2022,22,,,,,7,0.0,0
ACORIZAL,2022,23,,,,,7,0.0,0
ACORIZAL,2022,24,,,,,7,0.0,0
ACORIZAL,2022,25,,,,,7,0.0,0
ACORIZAL,2022,26,,,,,7,0.0,0
ACORIZAL,2022,27,,,,,7,0.0,0
ACORIZAL,2022,28,,,,,7,0.0,0
ACORIZAL,2022,29,,,,,7,0.0,0
ACORIZAL,2022,30,,,,,7,0.0,0
ACORIZAL,2022,31,,,,,7,0.0,0
ACORIZAL,2022,32,,,,,7,0.0,0
ACORIZAL,2022,33,,,,,7,0.0,0
ACORIZAL,2022,34,,,,,7,0.0,0
ACORIZAL,2022,35,,,,,7,0.0,0
ACORIZAL,2022,36,,,,,7,0.0,0
ACORIZAL,2022,37,,,,,7,0.0,0
ACORIZAL,2022,38,,,,,7,0.0,0
ACORIZAL,2022,39,,,,,7,0.0,0
ACORIZAL,2022,40,,,,,7,0.0,0
ACORIZAL,2022,41,,,,,7,0.0,0
ACORIZAL,2022,42,,,,,7,0.0,0
ACORIZAL,2022,43,,,,,7,0.0,0
