municipio,familia,epi_year,epi_week,prob_pressao_alta_proxima_janela,limiar_operacional,acima_limiar,faixa_pressao_predita,indice_pressao_proxy_atual,tests,drivers,tipo_sinal,metodo,modelo_versao
NOVA TEBAS,tuberculose,2024,21,0.0307,0.44999999999999996,False,baixa,2.9,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ESTREITO,tuberculose,2025,33,0.0307,0.44999999999999996,False,baixa,3.65,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RIO BRILHANTE,tuberculose,2024,43,0.0307,0.44999999999999996,False,baixa,4.71,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ITAITUBA,tuberculose,2024,48,0.0307,0.44999999999999996,False,baixa,5.52,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ITAGUAI,tuberculose,2024,42,0.0307,0.44999999999999996,False,baixa,5.26,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CANAA DOS CARAJAS,tuberculose,2024,35,0.0307,0.44999999999999996,False,baixa,3.33,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PARAISO DO NORTE,tuberculose,2025,28,0.0307,0.44999999999999996,False,baixa,3.46,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
RIO BRANCO,hepatite,2026,10,0.0306,0.2,False,baixa,23.53,1,indice_pressao_proxy=23.5 (imp=0.0872); tests_ma8=1 (imp=0.103); tests_lag1=1 (imp=0.0278); tests_ma4=1 (imp=0.0162); volume_norm=0.588 (imp=0.0263),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GLORIA D''OESTE,hepatite,2026,10,0.0306,0.2,False,baixa,23.53,1,indice_pressao_proxy=23.5 (imp=0.0872); tests_lag1=1 (imp=0.0278); tests_ma4=1 (imp=0.0162); tests=1 (imp=0.0128); tests_ma8=nan (imp=0.103),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GUAIRA,hepatite,2026,20,0.0306,0.2,False,baixa,22.22,1,tests=1 (imp=0.0128); tests_lag1=nan (imp=0.0278); tests_ma4=nan (imp=0.0162); tests_ma8=nan (imp=0.103); tests_trend=nan (imp=0.0219),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BELEM,tuberculose,2025,28,0.0304,0.44999999999999996,False,baixa,6.93,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TUPI PAULISTA,tuberculose,2025,28,0.0304,0.44999999999999996,False,baixa,6.93,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
FOZ DO IGUACU,tuberculose,2025,28,0.0304,0.44999999999999996,False,baixa,6.93,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PARANATINGA,hepatite,2025,28,0.0303,0.2,False,baixa,22.85,1,backlog_estimado=7 (imp=0.554); indice_pressao_proxy=22.9 (imp=0.0872); tests_ma8=1.71 (imp=0.103); tat_p90_dias=9.68 (imp=0.0124); tests_ma4=1.75 (imp=0.0162),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PEREIRA BARRETO,arbovirose,2025,10,0.0301,0.5499999999999999,False,baixa,0.42,2,tests_ma4=4 (imp=0.0905); tests=2 (imp=0.153); tests_lag1=6 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ITAJAI,arbovirose,2025,7,0.0301,0.5499999999999999,False,baixa,0.88,2,tests_ma4=3.5 (imp=0.0905); tests=2 (imp=0.153); tests_lag1=5 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
LONDRINA,arbovirose,2025,10,0.0301,0.5499999999999999,False,baixa,0.42,2,tests_ma4=3.5 (imp=0.0905); tests=2 (imp=0.153); tests_lag1=5 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SANTA CARMEM,hepatite,2025,39,0.03,0.2,False,baixa,40.0,1,indice_pressao_proxy=40 (imp=0.0872); tests_ma8=1.25 (imp=0.103); tests_lag1=2 (imp=0.0278); volume_norm=1 (imp=0.0263); tests_ma4=1.25 (imp=0.0162),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA LACERDA,hepatite,2026,19,0.03,0.2,False,baixa,40.0,1,tests=1 (imp=0.0128); tests_lag1=nan (imp=0.0278); tests_ma4=nan (imp=0.0162); tests_ma8=nan (imp=0.103); tests_trend=nan (imp=0.0219),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MARILANDIA,hepatite,2026,19,0.03,0.2,False,baixa,40.0,1,indice_pressao_proxy=40 (imp=0.0872); tests_ma8=1.17 (imp=0.103); tests_lag1=1 (imp=0.0278); volume_norm=1 (imp=0.0263); tests_ma4=1.25 (imp=0.0162),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PORTO DOS GAUCHOS,respiratorio,2025,44,0.0299,0.85,False,baixa,40.0,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ANAPOLIS,hepatite,2024,26,0.0295,0.2,False,baixa,18.12,7,tests=7 (imp=0.0128); tests_lag1=nan (imp=0.0278); tests_ma4=nan (imp=0.0162); tests_ma8=nan (imp=0.103); tests_trend=nan (imp=0.0219),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOBRES,hepatite,2025,29,0.0294,0.2,False,baixa,29.64,1,backlog_estimado=9 (imp=0.554); indice_pressao_proxy=29.6 (imp=0.0872); tat_p90_dias=26.9 (imp=0.0124); tests_ma8=1.5 (imp=0.103); tests_lag1=2 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
APARECIDA DE GOIANIA,tuberculose,2025,22,0.0293,0.44999999999999996,False,baixa,9.7,2,tests_ma4=1.5 (imp=0.0286); tests=2 (imp=0.0142); tests_pct_estadual=0.615 (imp=0.0333); tests_lag1=1 (imp=0.0154); tests_ma8=nan (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SAO PAULO,tuberculose,2025,16,0.0293,0.44999999999999996,False,baixa,3.01,1,indice_pressao_proxy=3.01 (imp=0.0691); tests_ma4=1 (imp=0.0286); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142); tests_ma8=nan (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA UBIRATA,hepatite,2025,33,0.0292,0.2,False,baixa,26.76,1,indice_pressao_proxy=26.8 (imp=0.0872); backlog_estimado=4 (imp=0.554); tat_p90_dias=150 (imp=0.0124); tests_ma8=1.57 (imp=0.103); tests_lag1=1 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
MONTES CLAROS,tuberculose,2025,35,0.0291,0.44999999999999996,False,baixa,10.39,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
LARANJAL DO JARI,tuberculose,2025,45,0.0291,0.44999999999999996,False,baixa,11.76,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CHOPINZINHO,tuberculose,2025,20,0.0291,0.44999999999999996,False,baixa,10.26,3,tests=3 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SAO GONCALO DO AMARANTE,tuberculose,2026,14,0.0291,0.44999999999999996,False,baixa,11.76,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TRES LAGOAS,tuberculose,2024,40,0.0291,0.44999999999999996,False,baixa,7.55,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TAQUARITINGA,tuberculose,2025,44,0.0291,0.44999999999999996,False,baixa,10.81,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
JUTI,tuberculose,2024,50,0.0291,0.44999999999999996,False,baixa,15.38,1,tests=1 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SENA MADUREIRA,tuberculose,2024,39,0.0291,0.44999999999999996,False,baixa,8.57,3,notificacoes=2 (imp=0.0665); tests_ma4=2 (imp=0.0286); tests=3 (imp=0.0142); tests_pct_estadual=0.818 (imp=0.0333); tests_lag1=1 (imp=0.0154),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CHAPECO,tuberculose,2025,12,0.029,0.44999999999999996,False,baixa,7.14,3,tests=3 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ASSIS,tuberculose,2025,2,0.0288,0.44999999999999996,False,baixa,12.0,3,tests=3 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BRAGANCA PAULISTA,tuberculose,2025,3,0.0288,0.44999999999999996,False,baixa,7.88,4,tests=4 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PERITORO,tuberculose,2025,30,0.0288,0.44999999999999996,False,baixa,11.43,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
FATIMA DO SUL,tuberculose,2025,49,0.0285,0.44999999999999996,False,baixa,40.0,1,volume_norm=1 (imp=0.0401); tests_ma4=1 (imp=0.0286); tests_pct_estadual=0.625 (imp=0.0333); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BORDA DA MATA,arbovirose,2025,7,0.0278,0.5499999999999999,False,baixa,2.63,6,tests=6 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA ANDRADINA,arbovirose,2025,7,0.0278,0.5499999999999999,False,baixa,2.63,6,tests=6 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
FRANCISCO BELTRAO,respiratorio,2025,15,0.0278,0.85,False,baixa,2.52,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ARAL MOREIRA,respiratorio,2025,4,0.0278,0.85,False,baixa,2.11,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CRUZEIRO DO SUL,arbovirose,2025,7,0.0278,0.5499999999999999,False,baixa,2.63,6,tests=6 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PALMARES,arbovirose,2025,7,0.0278,0.5499999999999999,False,baixa,2.63,6,tests=6 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SANTA CRUZ DO XINGU,arbovirose,2025,20,0.0276,0.5499999999999999,False,baixa,0.15,1,tests_ma4=2 (imp=0.0905); tests=1 (imp=0.153); tests_lag1=3 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ITANHANGA,respiratorio,2025,10,0.0276,0.85,False,baixa,4.83,8,tests=8 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA SANTA HELENA,tuberculose,2024,29,0.0275,0.44999999999999996,False,baixa,12.21,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ARAGUAINA,tuberculose,2024,23,0.0275,0.44999999999999996,False,baixa,3.2,1,indice_pressao_proxy=3.2 (imp=0.0691); tests_ma4=1 (imp=0.0286); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142); tests_ma8=nan (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
INOCENCIA,tuberculose,2025,32,0.0275,0.44999999999999996,False,baixa,14.55,2,tests=2 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ROSARIO,tuberculose,2024,39,0.0275,0.44999999999999996,False,baixa,2.86,1,indice_pressao_proxy=2.86 (imp=0.0691); tests_ma4=1 (imp=0.0286); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142); tests_ma8=nan (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
DENISE,tuberculose,2025,16,0.0275,0.44999999999999996,False,baixa,6.02,2,indice_pressao_proxy=6.02 (imp=0.0691); tests_ma8=1.33 (imp=0.0398); tests_ma4=1.33 (imp=0.0286); tests=2 (imp=0.0142); tests_lag1=1 (imp=0.0154),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
OLINDA,tuberculose,2024,31,0.0275,0.44999999999999996,False,baixa,3.85,1,indice_pressao_proxy=3.85 (imp=0.0691); tests_ma4=1 (imp=0.0286); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142); tests_ma8=nan (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
TOLEDO,tuberculose,2025,19,0.0275,0.44999999999999996,False,baixa,11.98,5,tests=5 (imp=0.0142); tests_lag1=nan (imp=0.0154); tests_ma4=nan (imp=0.0286); tests_ma8=nan (imp=0.0398); tests_trend=nan (imp=0.0311),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PORTO ESPERIDIAO,tuberculose,2025,28,0.0275,0.44999999999999996,False,baixa,33.96,1,backlog_estimado=22 (imp=0.613); indice_pressao_proxy=34 (imp=0.0691); tat_p90_dias=33.4 (imp=0.0137); tests_ma4=1 (imp=0.0286); tests_lag1=1 (imp=0.0154),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
POXOREO,tuberculose,2025,25,0.0272,0.44999999999999996,False,baixa,8.65,2,indice_pressao_proxy=8.65 (imp=0.0691); notificacoes=2 (imp=0.0665); tests_ma8=1.25 (imp=0.0398); tests_ma4=1.25 (imp=0.0286); tests=2 (imp=0.0142),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
APARECIDA DE GOIANIA,respiratorio,2025,2,0.0271,0.85,False,baixa,2.86,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
MANAUS,tuberculose,2026,9,0.0261,0.44999999999999996,False,baixa,10.0,1,indice_pressao_proxy=10 (imp=0.0691); tests_ma8=1 (imp=0.0398); tests_ma4=1 (imp=0.0286); tests_pct_estadual=0.5 (imp=0.0333); tests_lag1=1 (imp=0.0154),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
FIRMINOPOLIS,tuberculose,2026,13,0.0261,0.44999999999999996,False,baixa,8.7,1,indice_pressao_proxy=8.7 (imp=0.0691); tests_ma4=1 (imp=0.0286); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142); tests_ma8=nan (imp=0.0398),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CAMPO GRANDE,tuberculose,2025,35,0.0261,0.44999999999999996,False,baixa,10.39,2,indice_pressao_proxy=10.4 (imp=0.0691); tests_ma8=1.17 (imp=0.0398); tests_ma4=1.25 (imp=0.0286); tests=2 (imp=0.0142); tests_pct_estadual=0.708 (imp=0.0333),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PACARAIMA,tuberculose,2026,11,0.0261,0.44999999999999996,False,baixa,11.11,1,indice_pressao_proxy=11.1 (imp=0.0691); tests_ma8=1.25 (imp=0.0398); tests_ma4=1.25 (imp=0.0286); tests_pct_estadual=0.5 (imp=0.0333); tests_lag1=1 (imp=0.0154),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PORTO VELHO,tuberculose,2026,11,0.0261,0.44999999999999996,False,baixa,11.11,1,indice_pressao_proxy=11.1 (imp=0.0691); tests_ma8=1.25 (imp=0.0398); tests_ma4=1.25 (imp=0.0286); tests_pct_estadual=0.5 (imp=0.0333); tests_lag1=1 (imp=0.0154),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SAO PEDRO DA CIPA,hepatite,2025,27,0.0259,0.2,False,baixa,32.08,1,backlog_estimado=7 (imp=0.554); tat_p90_dias=278 (imp=0.0124); indice_pressao_proxy=32.1 (imp=0.0872); tests_ma8=1 (imp=0.103); tests_lag1=1 (imp=0.0278),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CERRO LARGO,arbovirose,2025,22,0.0253,0.5499999999999999,False,baixa,0.24,1,tests_ma4=2 (imp=0.0905); tests=1 (imp=0.153); tests_lag1=3 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
IPAMERI,arbovirose,2025,6,0.0253,0.5499999999999999,False,baixa,0.31,1,tests_ma4=2 (imp=0.0905); tests=1 (imp=0.153); tests_lag1=3 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA NAZARE,arbovirose,2025,7,0.0253,0.5499999999999999,False,baixa,0.44,1,tests_ma4=2 (imp=0.0905); tests=1 (imp=0.153); tests_lag1=3 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BOA VISTA DO GURUPI,arbovirose,2025,15,0.0245,0.5499999999999999,False,baixa,0.24,2,tests_ma4=3.5 (imp=0.0905); tests=2 (imp=0.153); tests_lag1=5 (imp=0.032); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
VILHENA,hepatite,2025,19,0.0245,0.2,False,baixa,2.14,1,tests_lag1=7 (imp=0.0278); indice_pressao_proxy=2.14 (imp=0.0872); tests_ma4=4 (imp=0.0162); tests=1 (imp=0.0128); tests_ma8=nan (imp=0.103),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
JATAI,hepatite,2024,52,0.0243,0.2,False,baixa,7.14,2,tests=2 (imp=0.0128); tests_lag1=nan (imp=0.0278); tests_ma4=nan (imp=0.0162); tests_ma8=nan (imp=0.103); tests_trend=nan (imp=0.0219),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BRANQUINHA,respiratorio,2025,20,0.024,0.85,False,baixa,0.97,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BADY BASSITT,respiratorio,2025,20,0.024,0.85,False,baixa,0.97,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ALTAMIRA,tuberculose,2026,10,0.0237,0.44999999999999996,False,baixa,11.11,1,indice_pressao_proxy=11.1 (imp=0.0691); tests_ma8=1.67 (imp=0.0398); tests_ma4=1.67 (imp=0.0286); tests_lag1=1 (imp=0.0154); tests=1 (imp=0.0142),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
CEREJEIRAS,respiratorio,2026,11,0.0236,0.85,False,baixa,20.51,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
ALTAMIRA,hepatite,2025,25,0.0235,0.2,False,baixa,5.93,1,indice_pressao_proxy=5.93 (imp=0.0872); tests_ma8=2.67 (imp=0.103); tests_lag1=6 (imp=0.0278); tests_ma4=2.67 (imp=0.0162); tests=1 (imp=0.0128),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GUIRATINGA,respiratorio,2025,21,0.0233,0.85,False,baixa,1.03,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
PEIXE,respiratorio,2025,21,0.0233,0.85,False,baixa,1.03,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
JARU,respiratorio,2025,21,0.0233,0.85,False,baixa,1.03,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
GRAJAU,respiratorio,2025,21,0.0233,0.85,False,baixa,1.03,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SANTA RITA DO TRIVELATO,respiratorio,2025,21,0.0233,0.85,False,baixa,1.03,3,tests=3 (imp=0.0161); tests_lag1=nan (imp=0.0398); tests_ma4=nan (imp=0.032); tests_ma8=nan (imp=0.0749); tests_trend=nan (imp=0.0483),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SANTA LUZIA D''OESTE,hepatite,2024,29,0.0231,0.2,False,baixa,16.6,5,tests=5 (imp=0.0128); tests_lag1=nan (imp=0.0278); tests_ma4=nan (imp=0.0162); tests_ma8=nan (imp=0.103); tests_trend=nan (imp=0.0219),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
BREJOLANDIA,arbovirose,2025,1,0.0228,0.5499999999999999,False,baixa,3.8,10,tests=10 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
COCALZINHO DE GOIAS,arbovirose,2025,1,0.0228,0.5499999999999999,False,baixa,3.8,10,tests=10 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
SOBRAL,arbovirose,2024,21,0.0228,0.5499999999999999,False,baixa,1.49,6,tests=6 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
AURIFLAMA,arbovirose,2025,14,0.0228,0.5499999999999999,False,baixa,1.74,12,tests=12 (imp=0.153); tests_lag1=nan (imp=0.032); tests_ma4=nan (imp=0.0905); tests_ma8=nan (imp=0.0999); tests_trend=nan (imp=0.0295),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
NOVA MARINGA,hepatite,2024,50,0.0224,0.2,False,baixa,5.71,1,indice_pressao_proxy=5.71 (imp=0.0872); tests_ma8=3 (imp=0.103); tests_ma4=3 (imp=0.0162); tests_lag1=1 (imp=0.0278); tests=1 (imp=0.0128),Predito,sklearn_gb_pressao_familia_v1,pressao_v1
