municipio,municipio_key,internacoes,internacoes_por_100k,sih_semana_ref,cid_familia,indicasus_score,aviso,fonte_internacao,fonte_indicasus
JUSCIMEIRA,JUSCIMEIRA,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
LAMBARI D''OESTE,LAMBARI D''OESTE,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
MACEIO,MACEIO,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
MARIBONDO,MARIBONDO,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVO MUNDO,NOVO MUNDO,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SALINOPOLIS,SALINOPOLIS,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SENADOR CANEDO,SENADOR CANEDO,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
VERA,VERA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ALTA FLORESTA,ALTA FLORESTA,0,0.0,2026-SE26,hepatite,10.63,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ALTO ARAGUAIA,ALTO ARAGUAIA,0,0.0,2026-SE26,tuberculose,11.18,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ALTO TAQUARI,ALTO TAQUARI,0,0.0,2026-SE26,,5.39,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
APARECIDA DE GOIANIA,APARECIDA DE GOIANIA,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
BARAO DE MELGACO,BARAO DE MELGACO,0,0.0,2026-SE26,hepatite,11.51,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
BARRA DO BUGRES,BARRA DO BUGRES,0,0.0,2026-SE26,,3.7,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
BRASNORTE,BRASNORTE,0,0.0,2026-SE26,,4.0,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CAIAPONIA,CAIAPONIA,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CAMPOS DE JULIO,CAMPOS DE JULIO,0,0.0,2026-SE26,hepatite,4.225,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CHAPADA DOS GUIMARAES,CHAPADA DOS GUIMARAES,0,0.0,2026-SE26,,3.86,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CONFRESA,CONFRESA,0,0.0,2026-SE26,,49.935,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
COTRIGUACU,COTRIGUACU,0,0.0,2026-SE26,hepatite,7.04,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
CURVELANDIA,CURVELANDIA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
DOURADOS,DOURADOS,0,,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
FAXINAL DO SOTURNO,FAXINAL DO SOTURNO,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
FELIZ NATAL,FELIZ NATAL,0,0.0,2026-SE26,tuberculose,2.0,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
FORTALEZA,FORTALEZA,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
GUIRATINGA,GUIRATINGA,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
IPIRANGA DO NORTE,IPIRANGA DO NORTE,0,0.0,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ITANHANGA,ITANHANGA,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ITIQUIRA,ITIQUIRA,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
JANGADA,JANGADA,0,0.0,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
JUARA,JUARA,0,0.0,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
