ano_se,semana_epidemiologica,codigo_ibge,municipio,sla_crise,silencio_gal_alerta,divergencia_gal_notif,faixa_pressao,pressao_alta,indice_pressao_rede,prob_pressao_alta_proxima_janela,faixa_pressao_predita,pressao_predita_acima_limiar,prioridade_emergencia,ts_geracao,tipo_sinal,fonte_stamp
2026,19,5103437.0,CUIABA,True,False,False,critica,True,75.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,,JURUTI,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5106190.0,NOVA LACERDA,True,False,False,moderada,False,45.81,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5106224.0,NOVA MARILANDIA,True,False,False,moderada,False,41.76,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5106257.0,NOVA MUTUM,True,False,False,alta,True,63.53,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5106265.0,NOVA OLIMPIA,True,False,False,moderada,False,49.09,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,,PIMENTA BUENO,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5107925.0,SINOP,False,False,False,alta,True,72.29,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5107941.0,SORRISO,True,False,False,alta,True,68.58,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5108006.0,TANGARA DA SERRA,True,False,False,alta,True,72.37,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,19,5108402.0,VARZEA GRANDE,False,False,False,critica,True,80.77,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,,ARIQUEMES,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5101704.0,BARRA DO BUGRES,True,False,False,moderada,False,42.11,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5102504.0,CACERES,False,False,False,critica,True,76.24,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,,CASSILANDIA,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5103437.0,CUIABA,True,False,False,critica,True,75.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,,GUAIRA,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,,JACOBINA,False,False,False,,False,,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5106265.0,NOVA OLIMPIA,True,False,False,moderada,False,49.09,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5106778.0,POCONE,False,False,False,moderada,False,53.7,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5106851.0,PONTES E LACERDA,True,False,False,alta,True,66.72,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5107602.0,RONDONOPOLIS,False,False,False,alta,True,69.34,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5107305.0,SAO JOSE DO RIO CLARO,False,False,False,moderada,False,47.36,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5107883.0,SAPEZAL,True,False,False,moderada,False,45.59,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5107925.0,SINOP,False,False,False,alta,True,72.29,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5108006.0,TANGARA DA SERRA,True,False,False,alta,True,72.37,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
2026,20,5108402.0,VARZEA GRANDE,False,False,False,critica,True,80.77,,,,,2026-08-29T16:43:37,Observado,seed_retro_inicial
