municipio,codigo_ibge,latitude,longitude,idh,gini,extrema_pobreza_pct,pea_2010,idh_inv,pea_inv,idh_inv_z,gini_z,extrema_pobreza_pct_z,pea_inv_z,indice_vulnerabilidade
CHAPADA DOS GUIMARAES,5103007.0,-15.4605,-55.7495,0.688,0.58,4.34,7789.0,0.31200000000000006,0.28148148148148144,-0.05620833333333047,2.023499999999996,0.09570608108108106,-0.6112656250000003,0.3629330306869366
CLAUDIA,5103056.0,-11.4939,-55.2018,0.699,0.49,2.76,5424.0,0.30100000000000005,0.4,-0.3653541666666652,-1.01175,-0.6243682432432432,-0.2740156250000001,-0.5688720087274771
COCALINHO,5103106.0,-14.3949,-50.9859,0.66,0.6,9.15,2630.0,0.33999999999999997,0.6518518518518519,0.7307083333333366,2.6979999999999964,2.287831081081081,0.442640625,1.5397950098536035
COLIDER,5103205.0,-10.8173,-55.4526,0.713,0.52,3.48,15695.0,0.28700000000000003,0.11851851851851847,-0.7588125000000003,0.0,-0.2962331081081081,-1.074984375,-0.5325074957770272
COLNIZA,5103254.0,-94.7955,-59.0253,0.611,0.56,12.54,12968.0,0.389,0.15555555555555556,2.1078125000000094,1.349,3.832800675675676,-0.9695937500000001,1.5800048564189213
COMODORO,5103304.0,-13.6644,-59.7845,0.689,0.52,3.33,7964.0,0.31100000000000005,0.2592592592592593,-0.08431249999999726,0.0,-0.3645945945945945,-0.6745,-0.28085177364864794
CONFRESA,5103353.0,-10.6433,-5.1569,0.668,0.53,8.41,10390.0,0.33199999999999996,0.18518518518518523,0.5058750000000024,0.33725,1.950581081081081,-0.88528125,0.47710620777027085
CONQUISTA D'OESTE,5103379.0,-14.6545,-59.5698,0.718,0.45,2.51,,0.28200000000000003,,-0.8993333333333343,-2.360749999999998,-0.7383040540540542,0.0,-0.9995968468468466
COTRIGUACU,5103403.0,-98.5243,-58.2435,0.601,0.53,8.13,6803.0,0.399,0.33333333333333337,2.3888541666666776,0.33725,1.8229729729729733,-0.46371875,1.0213395974099129
CUIABA,5103437.0,-15.5961,-56.0967,0.785,0.6,2.91,282228.0,0.21499999999999997,0.0,-2.78231250000001,2.6979999999999964,-0.5560067567567566,-1.412234375,-0.5131384079391925
CURVELANDIA,5103452.0,-1.5597,-58.1132,0.69,0.46,4.21,2120.0,0.31000000000000005,0.7333333333333334,-0.11241666666666407,-2.023499999999998,0.03645945945945949,0.6745,-0.35623930180180063
DENISE,5103502.0,-14.7391,-57.0537,0.683,0.48,2.89,3812.0,0.31699999999999995,0.5703703703703704,0.08431250000000039,-1.349,-0.5651216216216215,0.21078124999999998,-0.4047569679054053
DIAMANTINO,5103601.0,-14.4079,-56.4463,0.718,0.51,3.14,10766.0,0.28200000000000003,0.1777777777777778,-0.8993333333333343,-0.33725,-0.4511858108108107,-0.906359375,-0.6485321297860362
DOM AQUINO,5103700.0,-15.8077,-54.9189,0.69,0.51,4.21,3396.0,0.31000000000000005,0.5925925925925926,-0.11241666666666407,-0.33725,0.03645945945945949,0.2740156249999997,-0.03479789555180121
FELIZ NATAL,5103809.0,-12.3923,-54.9224,0.692,0.52,3.12,5185.0,0.30800000000000005,0.4296296296296296,-0.16862499999999764,0.0,-0.4603006756756756,-0.18970312500000028,-0.2046572001689184
FIGUEIROPOLIS D'OESTE,5103858.0,-15.4382,-58.7369,0.679,0.47,3.98,,0.32099999999999995,,0.1967291666666676,-1.6862500000000002,-0.06836148648648645,0.0,-0.3894705799549548
GAUCHA DO NORTE,5103908.0,-13.2429,-53.0782,0.615,0.52,4.87,2118.0,0.385,0.7407407407407407,1.9953958333333426,0.0,0.3372500000000001,0.6955781249999997,0.7570559895833355
GENERAL CARNEIRO,5103957.0,-15.7061,-52.7538,0.67,0.58,4.13,1916.0,0.32999999999999996,0.7777777777777778,0.44966666666666877,2.023499999999996,0.0,0.8009687499999998,0.818533854166666
GLORIA D'OESTE,5104104.0,-15.7539,-58.3073,0.71,0.47,3.12,,0.29000000000000004,,-0.6745,-1.6862500000000002,-0.4603006756756756,0.0,-0.705262668918919
GUARANTA DO NORTE,5104203.0,-97.8921,-54.8876,0.703,0.51,5.03,16303.0,0.29700000000000004,0.11111111111111116,-0.4777708333333324,-0.33725,0.41016891891891905,-1.0960624999999997,-0.3752286036036033
GUIRATINGA,5104500.0,-16.3456,-53.7592,0.705,0.58,3.15,6129.0,0.29500000000000004,0.37037037037037035,-0.533979166666666,2.023499999999996,-0.4466283783783784,-0.3583281250000002,0.1711410824887378
INDIAVAI,5104526.0,-15.3949,-5.8892,0.661,0.48,5.11,905.0,0.33899999999999997,0.9555555555555556,0.70260416666667,-1.349,0.4466283783783786,1.3068437499999999,0.27676907376126214
IPIRANGA DO NORTE,5104542.0,-12.1852,-56.0717,0.727,0.5,1.99,2743.0,0.273,0.6222222222222222,-1.1522708333333356,-0.6745,-0.9752905405405404,0.35832812499999983,-0.610933312218469
ITANHANGA,5104559.0,-12.2267,-56.6521,0.71,0.5,4.21,2451.0,0.29000000000000004,0.6814814814814815,-0.6745,-0.6745,0.03645945945945949,0.5269531249999998,-0.1963968538851352
ITAUBA,5104609.0,-11.1396,-55.2894,0.69,0.5,3.45,2062.0,0.31000000000000005,0.7555555555555555,-0.11241666666666407,-0.6745,-0.3099054054054053,0.7377343749999997,-0.08977192426801742
ITIQUIRA,5104807.0,-17.2069,-54.1444,0.693,0.56,1.88,4927.0,0.30700000000000005,0.4666666666666667,-0.19672916666666443,1.349,-1.0254222972972973,-0.08431250000000011,0.010634009009009546
JACIARA,5104906.0,-1.5965,-54.9682,0.735,0.54,2.78,12100.0,0.265,0.1703703703703704,-1.37710416666667,0.6745,-0.6152533783783783,-0.9274375,-0.561323761261262
JANGADA,5105002.0,-15.2393,-56.4891,0.63,0.49,6.43,2306.0,0.37,0.7185185185185186,1.5738333333333407,-1.01175,1.0482094594594593,0.6323437499999999,0.5606591356982
JAURU,5105101.0,-15.3216,-58.8789,0.673,0.5,4.31,3577.0,0.32699999999999996,0.5777777777777777,0.3653541666666683,-0.6745,0.08203378378378366,0.23185937499999967,0.0011868313626129182
JUARA,5105150.0,-11.2505,-5.7518,0.682,0.51,4.01,15643.0,0.31799999999999995,0.12592592592592589,0.11241666666666719,-0.33725,-0.05468918918918923,-1.0539062500000003,-0.33335719313063056
