familia,exames,n_municipios,tat_mediano_dias,tat_p90_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_rejeitado,backlog_estimado,granularidade,municipio,fonte,anos_referencia
arbovirose,2777,1,23.6,103.62750000000001,0.2383177570093458,0.0196078431372549,0.18967587034813926,0.08534389629096147,371,municipio_familia,ARENAPOLIS,gal_lacen_microdados,>=2024
arbovirose,2586,1,22.43402777777778,99.39527777777778,0.28125,0.09885172241637544,0.1982026959560659,0.11523588553750967,266,municipio_familia,PARANAITA,gal_lacen_microdados,>=2024
arbovirose,2403,1,22.47361111111111,197.475,0.24516129032258063,0.018144116122343183,0.17522032141005703,0.1431543903454016,463,municipio_familia,NOVA MUTUM,gal_lacen_microdados,>=2024
hepatite,2349,1,8.418055555555556,145.52236111111125,0.1808590806330068,0.1383116883116883,0.4279220779220779,0.01319710515112814,1136,municipio_familia,CUIABA,gal_lacen_microdados,>=2024
tuberculose,2005,1,2.51875,59.85416666666678,0.7320211960635882,0.4754664823773324,0.6447823082239116,0.06982543640897755,1205,municipio_familia,RONDONOPOLIS,gal_lacen_microdados,>=2024
hepatite,1937,1,17.443055555555556,186.47868055555557,0.34310618066561016,0.15942028985507245,0.2644927536231884,0.047496128033040784,319,municipio_familia,GUARANTA DO NORTE,gal_lacen_microdados,>=2024
arbovirose,1937,1,13.350694444444445,98.42986111111111,0.3031161473087819,0.008913649025069638,0.11754874651810585,0.21734641197728446,97,municipio_familia,QUERENCIA,gal_lacen_microdados,>=2024
arbovirose,1901,1,14.514583333333333,94.70347222222222,0.1996904024767802,0.08209437621202327,0.28054298642533937,0.03208837453971594,588,municipio_familia,ALTO GARCAS,gal_lacen_microdados,>=2024
respiratorio,1832,1,3.576388888888889,179.49166666666667,0.5205348615090736,0.15105485232067511,0.6658227848101266,0.20633187772925765,466,municipio_familia,CAMPO NOVO DO PARECIS,gal_lacen_microdados,>=2024
arbovirose,1822,1,22.49513888888889,93.34013888888889,0.1761786600496278,0.10961810466760961,0.21004243281471005,0.004939626783754116,696,municipio_familia,ITAUBA,gal_lacen_microdados,>=2024
outros,1803,1,11.721527777777778,122.19277777777774,0.3161290322580645,0.11173184357541899,0.34477254588986433,0.02384914032168608,481,municipio_familia,SORRISO,gal_lacen_microdados,>=2024
