ano,mes,municipio,cid_familia,n_registros,n_procedimentos
2026,6,CANABRAVA DO NORTE,tuberculose,2,2
2026,6,PALMITAL,tuberculose,1,1
2026,6,PORTO ESPERIDIAO,tuberculose,1,1
2026,6,SOBRADINHO,tuberculose,1,1
2026,6,BARREIRAS,tuberculose,1,1
2026,6,SEARA,tuberculose,1,1
2026,6,SAO JOSE DO RIO CLARO,hepatite,1,1
2026,6,CAMPO VERDE,hepatite,1,1
2026,6,CAMPO NOVO DO PARECIS,dengue_arbovirose,1,1
2026,6,PARANAITA,hepatite,2,2
2026,6,ORIXIMINA,dengue_arbovirose,1,1
2026,6,PEIXOTO DE AZEVEDO,hepatite,1,1
2026,6,BARRA DE SAO FRANCISCO,dengue_arbovirose,1,1
2026,6,NOVA OLIMPIA,hepatite,1,1
2026,6,NOSSA SENHORA DO LIVRAMENTO,tuberculose,2,2
2026,6,CACERES,hepatite,1,1
2026,6,CAMPINAPOLIS,tuberculose,13,13
2026,6,MARIALVA,dengue_arbovirose,1,1
2026,6,QUERENCIA,tuberculose,2,2
2026,6,ALTA FLORESTA DOESTE,dengue_arbovirose,1,2
2026,6,ALTO GARCAS,tuberculose,1,1
2026,6,TANGARA DA SERRA,tuberculose,88,88
2026,6,POXOREO,tuberculose,2,2
2026,6,RESERVA DO CABACAL,tuberculose,1,1
2026,6,ALTAMIRA,tuberculose,1,1
2026,6,APIACAS,dengue_arbovirose,1,1
2026,6,RIBEIRAOZINHO,tuberculose,1,1
2026,6,JI-PARANA,dengue_arbovirose,2,2
2026,6,MUNDO NOVO,hepatite,1,1
2026,6,CAMPO NOVO DO PARECIS,tuberculose,5,5
2026,6,ALTA FLORESTA,hepatite,4,4
2026,6,COLIDER,dengue_arbovirose,1,0
2026,6,CAMPINAPOLIS,dengue_arbovirose,6,21
2026,6,SAPEZAL,tuberculose,4,4
2026,6,JURUENA,hepatite,1,1
2026,6,NOVA SANTA HELENA,hepatite,2,2
2026,6,NORTELANDIA,tuberculose,2,2
2026,6,TURILANDIA,dengue_arbovirose,1,1
2026,6,CASTANHEIRA,tuberculose,2,2
2026,6,PLANALTO DA SERRA,dengue_arbovirose,5,5
2026,6,CEREJEIRAS,dengue_arbovirose,1,1
2026,6,DIAMANTINO,tuberculose,3,3
2026,6,NOVA BANDEIRANTES,dengue_arbovirose,1,1
2026,6,JABOATAO DOS GUARARAPES,tuberculose,1,1
2026,6,COLNIZA,tuberculose,2,2
2026,6,RIO BRANCO,tuberculose,1,1
2026,6,JUARA,tuberculose,9,9
2026,6,SANTO ANTONIO DO LESTE,dengue_arbovirose,2,2
2026,6,CACERES,tuberculose,20,20
2026,6,NOVA BANDEIRANTES,hepatite,3,3
2026,6,CHAPADA DOS GUIMARAES,hepatite,2,2
2026,6,COLIDER,hepatite,3,3
2026,6,AGUA BOA,dengue_arbovirose,1,1
2026,6,PEDRA PRETA,hepatite,1,1
2026,6,ALTO PARAGUAI,hepatite,1,1
2026,6,CONFRESA,tuberculose,4,4
2026,6,SAO JOSE DOS QUATRO MARCOS,tuberculose,1,1
2026,6,IPORA,tuberculose,1,1
2026,6,ARIPUANA,dengue_arbovirose,4,4
